"Unmanaged","Portfolio","Composite_index","Streamflow","CDD","NG"
"427",0,0,0,0,0,0
"428",0,0,0,0,0,0
"429",0,0,0,0,0,0
"430",0,0,0,0,0,0
"431",0,0.0308058628977541,0,0,0.0308058628977541,0
"432",0,0.172116805933976,0.0855877466490131,0,0,0.172116805933976
"433",0,0,0,0,0,0
"434",0,0,0,0,0,0
"435",0.0390210475829047,0.0823262910811611,0.0328739440172541,0,0,0.0823262910811611
"436",0,0.110506990295146,0,0,0.110506990295146,0
"437",0,0,0,0,0,0
"438",0,0.125390912947204,0,0,0.125390912947204,0
"439",0,0.0155046634404528,0,0.0155046634404528,0,0
"440",0,0.0176565466766494,0,0,0.0176565466766494,0
"441",0.383830386618005,0.167964273305619,0.310812214015247,0,0.00953744750406038,0.158426825801559
"442",0,0,0,0,0,0
"443",0.109009627123905,0.025490778864409,0,0,0.0188950230406064,0.00659575582380256
"444",0,0.0153708562808248,0,0.0153708562808248,0,0
"445",0.199166731146205,0.130760414339532,0.196031021381154,0,0,0.130760414339532
"446",0,0,0,0,0,0
"447",0,0,0,0,0,0
"448",0,0,0,0,0,0
"449",0,0.0629311579380243,0,0,0,0.0629311579380243
"450",0,0,0,0,0,0
"451",0,0,0,0,0,0
"452",0,0,0,0,0,0
"453",0,0,0,0,0,0
"454",0,0,0,0,0,0
"455",0.0195403846057047,0.00650346504830779,0.0223617284158237,0.00650346504830779,0,0
"456",0,0,0,0,0,0
"457",0.0119280504870058,0.00722833555093239,0,0,0,0.00722833555093239
"458",0,0,0,0,0,0
"459",0,0,0,0,0,0
"460",0,0.0191551020113163,0,0.0191551020113163,0,0
"461",0,0,0,0,0,0
"462",0,0,0,0,0,0
"463",0,0,0,0,0,0
"464",0,0,0,0,0,0
"465",0,0,0,0,0,0
"466",0,0.0262654046975825,0,0,0,0.0262654046975825
"467",0,0,0,0,0,0
"468",0,0.0202176508037333,0,0,0.0202176508037333,0
"469",0,0,0,0,0,0
"470",0,0,0,0,0,0
"471",0,0,0,0,0,0
"472",0,0,0,0,0,0
"473",0,0.0775094050122185,0,0,0.0775094050122185,0
"474",0,0,0,0,0,0
"475",0,0,0,0,0,0
"476",0,0,0,0,0,0
"477",0,0,0,0,0,0
"478",0,0.0412682430878526,0.0439182897577748,0,0.0412682430878526,0
"479",0,0.024105085252101,0,0,0,0.024105085252101
"480",0,0.013243810691943,0.0218863034157604,0,0,0.013243810691943
"481",0,0,0,0,0,0
"482",0,0,0,0,0,0
"483",0,0,0,0,0,0
"484",0,0.0342487853655573,0,0,0.0342487853655573,0
"485",0,0.0155592912025693,0,0,0,0.0155592912025693
"486",0,0,0,0,0,0
"487",0.296839489708306,0.239088341107077,0.319951367258369,0.0443776969946637,0,0.194710644112414
"488",0,0,0,0,0,0
"489",0,0,0,0,0,0
"490",0,0,0,0,0,0
"491",0,0,0,0,0,0
"492",0,0,0,0,0,0
"493",0,0,0,0,0,0
"494",0,0.0842118962664742,0,0,0.0842118962664742,0
"495",0,0.0194778582123547,0,0,0.0194778582123547,0
"496",0,0,0,0,0,0
"497",0,0,0,0,0,0
"498",0,0.0581569713181747,0,0,0,0.0581569713181747
"499",0,0,0,0,0,0
